Date,ID,Frequency,Age,Sex,Sale,Prefecture,Area,Category
2018/9/23,1,1,65,Male,28649,Chiba,Kanto,Furniture
2018/1/8,2,1,45,Male,11466,Wakayama,Kansai,Commodity
2018/2/8,2,2,45,Male,10428,Hyogo,Kansai,Commodity
2018/3/7,2,3,45,Male,9510,Saitama,Kanto,Commodity
2018/3/10,2,4,45,Male,2706,Osaka,Kansai,Office Supplies
2018/5/8,2,5,45,Male,11040,Tokyo,Kanto,Furniture
2018/5/25,2,6,45,Male,6475,Shizuoka,Tyubu,Office Supplies
2018/7/25,2,7,45,Male,24254,Tokyo,Kanto,Furniture
2018/9/23,2,8,45,Male,3989,Hukushima,Touhoku,Office Supplies
2018/11/29,3,1,49,Male,105,Kagoshima,Kyusyuu,Office Supplies
2018/3/4,4,1,49,Male,561,Nara,Kansai,Office Supplies
2018/1/22,5,1,69,Male,20186,Tochigi,Kanto,Furniture
2018/3/26,5,2,69,Male,1585,Hukuoka,Kyusyuu,Office Supplies
2018/4/11,5,3,69,Male,14953,Hukushima,Touhoku,Commodity
2018/4/20,5,4,69,Male,6232,Aichi,Tyubu,Furniture
2018/5/12,5,5,69,Male,19064,Ibaraki,Kanto,Commodity
2018/7/20,5,6,69,Male,28246,Miyagi,Kyusyuu,Furniture
2018/12/20,6,1,69,Male,5519,Kagoshima,Kyusyuu,Office Supplies
2018/12/17,7,1,40,Male,9372,Akita,Touhoku,Commodity
2018/12/17,8,1,40,Male,3871,Hukushima,Touhoku,Office Supplies
2018/8/9,9,1,40,Male,2190,Hiroshima,Tyugoku,Office Supplies
2018/4/9,10,1,40,Female,1210,Hukushima,Touhoku,Commodity
2018/3/9,11,1,51,Male,23610,Nara,Kansai,Commodity
2018/3/20,12,1,61,Male,2112,Saitama,Kanto,Commodity
2018/1/28,13,1,41,Male,22456,Kanagawa,Kanto,Commodity
2018/12/10,14,1,66,Female,19411,Hiroshima,Tyugoku,Furniture
2018/8/20,15,1,43,Female,80647,Hukuoka,Kyusyuu,Furniture
2018/3/27,16,1,58,Female,2830,Hokkaido,Hokkaido,Office Supplies
2018/9/25,17,1,62,Female,10300,Hukui,Tyubu,Furniture
2018/7/28,18,1,22,Female,32344,Osaka,Kansai,Commodity
2018/8/14,19,1,48,Male,2365,Shizuoka,Tyubu,Office Supplies
2018/6/19,20,1,68,Male,5588,Hukushima,Touhoku,Commodity
2018/10/20,21,1,67,Female,13105,Kagoshima,Kyusyuu,Furniture
2018/8/19,22,1,48,Male,1348,Hyogo,Kansai,Office Supplies
2018/4/7,23,1,48,Male,6308,Akita,Touhoku,Commodity
2018/1/8,24,1,27,Female,1800,Tokyo,Kanto,Commodity
2018/12/22,25,1,27,Female,4389,Yamaguchi,Tyugoku,Commodity
2018/10/3,26,1,51,Female,20146,Nagasaki,Kyusyuu,Furniture
2018/4/18,27,1,51,Female,11130,Hiroshima,Tyugoku,Commodity
2018/2/3,28,1,51,Male,1646,Ehime,Shikoku,Office Supplies
2018/8/22,28,2,51,Male,82958,Ehime,Shikoku,Commodity
2018/9/19,28,3,51,Male,6254,Yamaguchi,Tyugoku,Office Supplies
2018/9/19,28,4,51,Male,5460,Hyogo,Kansai,Commodity
2018/10/3,28,5,51,Male,2410,Aichi,Tyubu,Commodity
2018/10/13,28,6,51,Male,6096,Iwate,Touhoku,Office Supplies
2018/3/8,29,1,28,Male,46269,Tochigi,Kanto,Commodity
2018/9/14,29,2,28,Male,2729,Shizuoka,Tyubu,Office Supplies
2018/3/5,30,1,61,Female,35259,Saitama,Kanto,Commodity
2018/3/7,30,2,61,Female,2192,Hukuoka,Kyusyuu,Furniture
2018/7/12,30,3,61,Female,1560,Okayama,Tyugoku,Office Supplies
2018/9/24,30,4,61,Female,38720,Osaka,Kansai,Furniture
2018/10/17,30,5,61,Female,4847,Hukushima,Touhoku,Office Supplies
2018/12/31,30,6,61,Female,11219,Shiga,Kansai,Commodity
2018/10/5,31,1,53,Male,25950,Tottori,Tyugoku,Commodity
2018/12/6,31,2,53,Male,33668,Shiga,Kansai,Commodity
2018/2/1,32,1,31,Male,6691,Osaka,Kansai,Furniture
2018/4/3,32,2,31,Male,1597,Mie,Kansai,Commodity
2018/5/6,32,3,31,Male,14727,Aichi,Tyubu,Furniture
2018/7/10,32,4,31,Male,2396,Hukuoka,Kyusyuu,Office Supplies
2018/4/3,33,1,53,Male,3969,Yamagata,Touhoku,Office Supplies
2018/7/11,34,1,53,Male,15888,Shizuoka,Tyubu,Commodity
2018/2/23,35,1,53,Male,274,Hukuoka,Kyusyuu,Office Supplies
2018/5/18,36,1,53,Male,1779,Yamagata,Touhoku,Office Supplies
2018/1/20,37,1,51,Male,15884,Nara,Kansai,Furniture
2018/3/27,38,1,24,Male,10286,Aomori,Touhoku,Furniture
2018/11/1,39,1,28,Male,475,Mie,Kansai,Office Supplies
2018/4/13,40,1,68,Male,8780,Yamaguchi,Tyugoku,Furniture
2018/3/12,41,1,68,Male,71,Saitama,Kanto,Office Supplies
2018/2/25,42,1,23,Female,364,Gihu,Tyubu,Office Supplies
2018/5/7,43,1,57,Male,75847,Gihu,Tyubu,Furniture
2018/2/17,44,1,23,Female,14168,Saga,Kyusyuu,Commodity
2018/3/5,45,1,23,Female,11932,Niigata,Tyubu,Furniture
2018/8/15,45,2,67,Female,4973,Kanagawa,Kanto,Office Supplies
2018/1/1,46,1,23,Female,22977,Hukushima,Touhoku,Commodity
2018/6/16,47,1,57,Male,77798,Tochigi,Kanto,Furniture
2018/1/9,48,1,46,Male,30480,Hiroshima,Tyugoku,Commodity
2018/6/7,48,2,46,Male,242,Yamagata,Touhoku,Office Supplies
2018/12/19,49,1,27,Male,5349,Chiba,Kanto,Office Supplies
2018/8/11,50,1,27,Male,5476,Oita,Kyusyuu,Furniture
2018/5/31,51,1,27,Male,2626,Hokkaido,Hokkaido,Office Supplies
2018/2/13,52,1,27,Male,4469,Hokkaido,Hokkaido,Office Supplies
2018/12/2,53,1,45,Male,14636,Miyagi,Kyusyuu,Commodity
2018/4/4,54,1,45,Male,1624,Ibaraki,Kanto,Office Supplies
2018/11/12,55,1,25,Female,-420,Mie,Kansai,Office Supplies
2018/5/1,56,1,44,Male,2269,Miyagi,Kyusyuu,Office Supplies
2018/6/27,57,1,65,Male,1699,Ehime,Shikoku,Office Supplies
2018/7/29,58,1,35,Male,3578,Kanagawa,Kanto,Furniture
2018/6/28,59,1,35,Male,1664,Nara,Kansai,Office Supplies
2018/6/28,60,1,65,Female,1709,Kyoto,Kansai,Office Supplies
2018/10/21,61,1,44,Male,3962,Ibaraki,Kanto,Office Supplies
2018/3/7,62,1,44,Male,24899,Chiba,Kanto,Commodity
2018/8/30,62,2,44,Male,48411,Ehime,Shikoku,Furniture
2018/9/5,63,1,64,Male,4088,Hyogo,Kansai,Office Supplies
2018/8/5,64,1,32,Male,53423,Gihu,Tyubu,Furniture
2018/2/13,65,1,32,Male,6728,Shimane,Tyugoku,Commodity
2018/5/14,66,1,32,Male,3057,Aichi,Tyubu,Office Supplies
2018/5/21,67,1,66,Female,3245,Gihu,Tyubu,Commodity
2018/2/19,68,1,33,Male,2199,Hokkaido,Hokkaido,Commodity
2018/1/20,69,1,68,Male,1223,Gihu,Tyubu,Office Supplies
2018/5/21,70,1,66,Male,5856,Gihu,Tyubu,Office Supplies
2018/1/10,71,1,38,Male,2524,Osaka,Kansai,Office Supplies
2018/6/2,72,1,48,Male,8755,Chiba,Kanto,Commodity
2018/1/12,73,1,38,Female,27994,Shiga,Kansai,Furniture
2018/5/21,74,1,56,Male,5388,Hukui,Tyubu,Office Supplies
2018/4/25,75,1,33,Male,11855,Saitama,Kanto,Commodity
2018/5/21,76,1,33,Male,3552,Saga,Kyusyuu,Office Supplies
2018/11/1,77,1,54,Male,-823,Miyagi,Touhoku,Office Supplies
2018/4/7,78,1,65,Male,15064,Tokyo,Kanto,Furniture
2018/12/9,79,1,65,Male,12233,Hiroshima,Tyugoku,Furniture
2018/9/29,80,1,65,Male,3443,Ishikawa,Tyubu,Office Supplies
2018/9/29,81,1,65,Male,16486,Hokkaido,Hokkaido,Office Supplies
2018/1/26,82,1,32,Male,8535,Kyoto,Kansai,Commodity
2018/4/11,83,1,42,Male,29035,Shizuoka,Tyubu,Commodity
2018/4/2,84,1,32,Male,1686,Hukushima,Touhoku,Office Supplies
2018/11/6,85,1,66,Male,12935,Ibaraki,Kanto,Office Supplies
2018/2/15,86,1,38,Female,630,Miyagi,Kyusyuu,Office Supplies
2018/1/6,87,1,38,Female,37255,Saitama,Kanto,Commodity
2018/7/2,87,2,38,Female,1759,Chiba,Kanto,Office Supplies
2018/6/1,88,1,35,Male,7111,Wakayama,Kansai,Office Supplies
2018/1/5,89,1,45,Female,24179,Aichi,Tyubu,Furniture
2018/4/19,90,1,20,Male,9647,Saitama,Kanto,Commodity
2018/1/6,91,1,45,Male,18235,Saitama,Kanto,Furniture
2018/6/29,92,1,45,Male,10303,Ishikawa,Tyubu,Commodity
2018/3/20,93,1,20,Male,13601,Hyogo,Kansai,Commodity
2018/6/1,94,1,20,Female,20910,Osaka,Kansai,Furniture
2018/1/16,95,1,24,Male,17800,Hukuoka,Kyusyuu,Commodity
2018/12/13,96,1,22,Female,8394,Nagono,Tyubu,Office Supplies
2018/7/3,97,1,22,Female,1304,Kagawa,Shikoku,Office Supplies
2018/6/30,98,1,41,Male,2402,Ehime,Shikoku,Commodity
2018/9/20,98,2,41,Male,4535,Hyogo,Kansai,Office Supplies
2018/3/14,99,1,22,Female,2891,Aichi,Tyubu,Office Supplies
2018/12/10,100,1,22,Female,20668,Nara,Kansai,Furniture
2018/8/26,101,1,56,Male,3367,Aichi,Tyubu,Furniture
2018/9/2,101,2,56,Male,2511,Iwate,Touhoku,Office Supplies
2018/5/22,102,1,64,Male,2728,Aichi,Tyubu,Office Supplies
2018/9/22,103,1,54,Male,3778,Saitama,Kanto,Office Supplies
2018/9/13,104,1,44,Male,14302,Shizuoka,Tyubu,Furniture
2018/2/6,105,1,40,Male,3007,Hukuoka,Kyusyuu,Office Supplies
2018/3/1,105,2,40,Male,4736,Mie,Kansai,Office Supplies
2018/6/25,105,3,40,Male,4348,Okayama,Tyugoku,Office Supplies
2018/10/9,105,4,40,Male,3359,Oita,Kyusyuu,Commodity
2018/11/1,105,5,40,Male,18041,Saitama,Kanto,Commodity
2018/12/9,105,6,40,Male,2649,Saitama,Kanto,Office Supplies
2018/5/22,106,1,64,Female,1262,Hokkaido,Hokkaido,Office Supplies
2018/4/24,107,1,62,Female,1995,Hukushima,Touhoku,Furniture
2018/6/17,107,2,62,Female,731,Niigata,Tyubu,Office Supplies
2018/6/14,108,1,30,Female,2862,Kyoto,Kansai,Office Supplies
2018/10/25,109,1,30,Male,31330,Chiba,Kanto,Furniture
2018/5/16,110,1,30,Female,5441,Hiroshima,Tyugoku,Furniture
2018/3/22,111,1,30,Male,7357,Hukui,Tyubu,Office Supplies
2018/11/1,112,1,66,Male,23126,Yamaguchi,Tyugoku,Furniture
2018/7/12,113,1,66,Male,3245,Hokkaido,Hokkaido,Office Supplies
2018/11/1,114,1,66,Male,5928,Chiba,Kanto,Commodity
2018/12/18,115,1,66,Female,3007,Shiga,Kansai,Office Supplies
2018/1/19,116,1,32,Male,1258,Osaka,Kansai,Office Supplies
2018/3/13,116,2,32,Male,2182,Hukuoka,Kyusyuu,Office Supplies
2018/5/2,116,3,32,Male,140776,Hukui,Tyubu,Furniture
2018/6/19,116,4,32,Male,41664,Toyama,Tyubu,Commodity
2018/9/28,117,1,49,Male,13540,Hiroshima,Tyugoku,Commodity
2018/7/7,118,1,49,Male,4278,Hokkaido,Hokkaido,Office Supplies
2018/4/24,119,1,66,Female,1693,Aichi,Tyubu,Office Supplies
2018/8/10,119,2,66,Female,5503,Kagawa,Shikoku,Commodity
2018/8/12,119,3,66,Female,28700,Nagono,Tyubu,Commodity
2018/9/4,119,4,66,Female,2348,Niigata,Tyubu,Office Supplies
2018/9/15,119,5,66,Female,14630,Hyogo,Kansai,Office Supplies
2018/11/1,119,6,66,Female,15990,Hukuoka,Kyusyuu,Furniture
2018/1/3,120,1,66,Female,67118,Osaka,Kansai,Furniture
2018/2/11,120,2,66,Female,2183,Aichi,Tyubu,Office Supplies
2018/2/12,120,3,66,Female,1472,Hokkaido,Hokkaido,Office Supplies
2018/2/16,120,4,66,Female,7130,Shizuoka,Tyubu,Office Supplies
2018/3/15,120,5,66,Female,71758,Hukui,Tyubu,Furniture
2018/4/16,120,6,66,Female,406,Kumamoto,Kyusyuu,Office Supplies
2018/2/27,121,1,30,Male,54020,Hokkaido,Hokkaido,Furniture
2018/2/11,122,1,56,Female,1150,Hukushima,Touhoku,Office Supplies
2018/7/29,123,1,49,Male,557,Nagono,Tyubu,Office Supplies
2018/10/12,124,1,49,Male,3386,Kagawa,Shikoku,Office Supplies
2018/1/27,125,1,49,Male,1118,Osaka,Kansai,Office Supplies
2018/5/28,126,1,66,Male,4750,Niigata,Tyubu,Office Supplies
2018/11/18,126,2,66,Male,77460,Wakayama,Kansai,Furniture
2018/3/20,127,1,49,Male,7530,Saitama,Kanto,Commodity
2018/9/3,128,1,29,Male,3162,Saitama,Kanto,Office Supplies
2018/1/4,129,1,49,Male,2939,Niigata,Tyubu,Office Supplies
2018/3/3,129,2,49,Male,23694,Yamaguchi,Tyugoku,Commodity
2018/5/27,130,1,29,Male,429,Chiba,Kanto,Office Supplies
2018/1/11,131,1,30,Male,2264,Hokkaido,Hokkaido,Office Supplies
2018/5/17,131,2,30,Male,1682,Ibaraki,Kanto,Office Supplies
2018/12/11,132,1,30,Female,3221,Saitama,Kanto,Office Supplies
2018/4/3,133,1,60,Male,2186,Aichi,Tyubu,Office Supplies
2018/4/11,133,2,60,Male,2445,Hokkaido,Hokkaido,Office Supplies
2018/7/12,133,3,60,Male,6983,Kagoshima,Kyusyuu,Furniture
2018/10/20,133,4,60,Male,10724,Aichi,Tyubu,Commodity
2018/11/9,133,5,60,Male,15170,Akita,Touhoku,Commodity
2018/11/16,133,6,60,Male,5215,Yamanashi,Tyubu,Furniture
2018/12/18,133,7,60,Male,1591,Mie,Kansai,Office Supplies
2018/2/27,134,1,58,Male,839,Niigata,Tyubu,Office Supplies
2018/3/4,134,2,58,Male,509,Saitama,Kanto,Office Supplies
2018/7/21,134,3,58,Male,38411,Osaka,Kansai,Furniture
2018/9/4,134,4,58,Male,1928,Hyogo,Kansai,Office Supplies
2018/6/6,135,1,40,Female,4557,Hokkaido,Hokkaido,Office Supplies
2018/2/13,136,1,40,Male,4420,Aichi,Tyubu,Office Supplies
2018/6/19,137,1,40,Male,11723,Chiba,Kanto,Office Supplies
2018/9/23,138,1,40,Female,40335,Nagasaki,Kyusyuu,Furniture
2018/3/15,139,1,34,Male,16766,Aichi,Tyubu,Commodity
2018/4/17,140,1,59,Female,15267,Tokyo,Kanto,Furniture
2018/8/8,140,2,59,Female,2974,Osaka,Kansai,Office Supplies
2018/10/10,141,1,27,Male,131,Osaka,Kansai,Office Supplies
2018/10/5,142,1,57,Male,2522,Nagasaki,Kyusyuu,Office Supplies
2018/10/5,142,2,57,Male,15156,Hokkaido,Hokkaido,Commodity
2018/10/8,142,3,57,Male,376,Yamaguchi,Tyugoku,Office Supplies
2018/10/10,142,4,57,Male,42992,Chiba,Kanto,Commodity
2018/11/21,142,5,57,Male,67235,Hiroshima,Tyugoku,Furniture
2018/12/10,142,6,57,Male,2653,Yamaguchi,Tyugoku,Office Supplies
2018/9/13,143,1,51,Male,3110,Aichi,Tyubu,Commodity
2018/11/18,144,1,51,Male,3707,Hyogo,Kansai,Furniture
2018/10/16,145,1,51,Male,6410,Hokkaido,Hokkaido,Furniture
2018/7/26,146,1,34,Male,8930,Hiroshima,Tyugoku,Commodity
2018/5/3,147,1,34,Male,16194,Hukuoka,Kyusyuu,Commodity
2018/3/15,148,1,33,Male,76451,Shizuoka,Tyubu,Furniture
2018/8/1,148,2,33,Male,1970,Kagoshima,Kyusyuu,Commodity
2018/7/6,149,1,59,Male,12418,Oita,Kyusyuu,Commodity
2018/6/4,150,1,57,Male,2323,Tokyo,Kanto,Office Supplies
2018/8/7,151,1,25,Female,40110,Aichi,Tyubu,Furniture
2018/8/12,152,1,59,Male,12817,Tochigi,Kanto,Commodity
2018/8/12,153,1,59,Male,32412,Kagoshima,Kyusyuu,Commodity
2018/3/5,154,1,40,Female,7597,Kyoto,Kansai,Furniture
2018/9/14,155,1,52,Female,1730,Miyagi,Kyusyuu,Office Supplies
2018/9/17,156,1,42,Female,19007,Kanagawa,Kanto,Furniture
2018/3/11,157,1,57,Female,3426,Hyogo,Kansai,Furniture
2018/1/6,158,1,47,Male,30589,Hukuoka,Kyusyuu,Commodity
2018/6/20,159,1,42,Female,13570,Ibaraki,Kanto,Commodity
2018/1/8,160,1,40,Male,27604,Tochigi,Kanto,Furniture
2018/3/10,160,2,40,Male,38308,Toyama,Tyubu,Commodity
2018/4/15,160,3,40,Male,9801,Mie,Kansai,Furniture
2018/7/17,160,4,40,Male,2417,Hokkaido,Hokkaido,Office Supplies
2018/8/2,160,5,40,Male,13254,Kagoshima,Kyusyuu,Furniture
2018/8/7,160,6,40,Male,24263,Tokyo,Kanto,Furniture
2018/10/12,160,7,40,Male,2292,Miyagi,Touhoku,Commodity
2018/11/30,160,8,40,Male,55,Okayama,Tyugoku,Office Supplies
2018/3/10,161,1,57,Male,6100,Kochi,Shikoku,Office Supplies
2018/3/11,162,1,57,Male,19083,Hukuoka,Kyusyuu,Commodity
2018/1/5,163,1,59,Male,1108,Shimane,Tyugoku,Office Supplies
2018/8/4,163,2,59,Male,5969,Shizuoka,Tyubu,Office Supplies
2018/8/4,164,1,59,Male,33634,Nagasaki,Kyusyuu,Commodity
2018/1/26,165,1,66,Male,1530,Osaka,Kansai,Office Supplies
2018/3/3,165,2,66,Male,829,Hyogo,Kansai,Office Supplies
2018/9/11,165,3,66,Male,4461,Hukui,Tyubu,Commodity
2018/4/20,166,1,21,Male,1124,Saitama,Kanto,Office Supplies
2018/7/31,167,1,21,Male,667,Aichi,Tyubu,Office Supplies
2018/1/24,168,1,21,Male,1239,Chiba,Kanto,Office Supplies
2018/10/18,169,1,21,Male,31724,Saitama,Kanto,Furniture
2018/3/30,170,1,21,Male,11576,Hukuoka,Kyusyuu,Office Supplies
2018/9/30,171,1,67,Female,1242,Hokkaido,Hokkaido,Office Supplies
2018/3/24,172,1,67,Male,1833,Miyagi,Touhoku,Office Supplies
2018/4/27,172,2,67,Male,3075,Hukuoka,Kyusyuu,Office Supplies
2018/5/31,172,3,67,Male,5592,Yamagata,Touhoku,Furniture
2018/7/21,172,4,67,Male,13821,Toyama,Tyubu,Office Supplies
2018/7/23,172,5,67,Male,31328,Gunma,Kanto,Commodity
2018/10/26,172,6,67,Male,18115,Gunma,Kanto,Furniture
2018/11/25,172,7,67,Male,7168,Nagono,Tyubu,Furniture
